AGT,Aaron crow,Amanda mena,Angel city chorale,Brian King Joseph,Christina Wells,Courtney hadwin,Da Republik,DanielEmmet,Duo Transcend,Falujae,Front pictures,The future Kingz,Glennis Grace,Hans,Human fountains,Joseph O brien,Junior new system,Lord nil,Makyla Phillips,Michael Ketterer,Mochi,Noah guthrie,The PAC dance team,Quin and Misha,Rob Lake,The sacred Riana,Samuel J Comroe,The Savitsky cats,Shin Lim,UDI Dance,US the Duo,Vicki barbolak,Voices of Hope,We Three,Yumbo Dump,Zurcaroh
Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must,Must
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGT,Aaron crow,Amanda mena,Angel city chorale,Brian King Joseph,Christina Wells,Courtney hadwin,Da Republik,DanielEmmet,Duo Transcend,Falujae,Front pictures,The future Kingz,Glennis Grace,Hans,Human fountains,Joseph O brien,Junior new system,Lord nil,Makyla Phillips,Michael Ketterer,Mochi,Noah guthrie,The PAC dance team,Quin and Misha,Rob Lake,The sacred Riana,Samuel J Comroe,The Savitsky cats,Shin Lim,UDI Dance,US the Duo,Vicki barbolak,Voices of Hope,We Three,Yumbo Dump,Zurcaroh
Americas got talent,ItsAaronCrow,AmandaMenaMusic,AngelCitySings,BrianKingJoseph,SingChristina,CourtneyHadwin,DaRepubliK,DanielEmmet,duotranscend,Flaujae,Front_Pictures,TheFutureKingz,GlennisGrace,Accordionhans,HumanFountains,jbobrienmusic,JNSOfficial,TheLordNil,,Ketterermusic,MochiJuggles,only1noah,PACDanceTeam,QuinandMisha,RobLakeMagic,rianariani,SamuelJComroe,SavitskyCats,ShinLimMagic,udidance,UsTheDuo,VickiBarbolak,VoicesOfHopeCC,wethreemusic,YumboDump,zurcaroh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
